company,productname,type,package,volumeml,country,boycott,certificate,barcode
롯데칠성음료(주),칠성사이다,탄산음료,패트,500,대한민국,NOT,,8801056192013
롯데칠성음료(주),칠성사이다,탄산음료,패트,1250,대한민국,NOT,,8801056190019
롯데칠성음료(주),칠성사이다,탄산음료,캔,190,대한민국,NOT,,8801056028886
롯데칠성음료(주),칠성사이다,탄산음료,캔,190*6,대한민국,NOT,,8801056028893
롯데칠성음료(주),칠성사이다,탄산음료,캔,250,대한민국,NOT,,8801056143015
롯데칠성음료(주),칠성사이다,탄산음료,캔,250*6,대한민국,NOT,,8801056143060
롯데칠성음료(주),칠성사이다,탄산음료,캔,190*30,대한민국,NOT,,8801056097202
롯데칠성음료(주),칠성사이다 플러스,탄산음료,패트,500,대한민국,NOT,,8801056227708
롯데칠성음료(주),칠성사이다 제로,탄산음료,패트,1250,대한민국,NOT,,8801056235987
롯데칠성음료(주),탐스 제로 파인애플향,탄산음료,캔,355,대한민국,NOT,,8801056231682
롯데칠성음료(주),탐스 제로 레몬향,탄산음료,패트,500,대한민국,NOT,,8801056229320
롯데칠성음료(주),탐스 제로 오렌지향,탄산음료,패트,500,대한민국,NOT,,8801056229290
롯데칠성음료(주),탐스 제로 오렌지향,탄산음료,패트,1500,대한민국,NOT,,8801056230364
롯데칠성음료(주),탐스 제로 사과앤 키위향,탄산음료,패트,500,대한민국,NOT,,8801056229351
롯데칠성음료(주),탐스 제로 사과앤 키위향,탄산음료,패트,1500,대한민국,NOT,,8801056230302
"한국코카콜라(유), 코카-콜라음료(주)",갈배 사이다 제로,탄산음료,패트,1500,대한민국,회사,,8801105916645
"해태에이치티비(주), 오케이에프음료(주)",갈배사이다,탄산음료,패트,1500,대한민국,NOT,,8801105915426
"해태에이치티비(주), 오케이에프음료(주)",갈배 사이다 제로,탄산음료,패트,1500,대한민국,NOT,,8801105916645
(주)농심,웰치스 웰치 그레이프맛,탄산음료,캔,355,대한민국,NOT,,8801043450690
(주)농심,웰치스 웰치 그레이프맛,탄산음료,캔,355*6,대한민국,NOT,,8801043650632
(주)농심,웰치스 웰치 오렌지맛,탄산음료,캔,355,대한민국,NOT,,8801043059312
(주)농심,웰치스 웰치 오렌지맛,탄산음료,캔,355*6,대한민국,NOT,,8801043059367
(주)농심,웰치스 웰치 화이트그레이프맛,탄산음료,캔,355,대한민국,NOT,,8801043650625
(주)농심,웰치스 웰치 화이트그레이프맛,탄산음료,캔,355*6,대한민국,NOT,,8801043005425
(주)농심,웰치스 웰치 제로 그레이프맛,탄산음료,패트,1500,대한민국,NOT,,8801043067225
(주)농심,웰치스 웰치 제로 오렌지맛,탄산음료,캔,355,대한민국,NOT,,8801043064118
(주)농심,웰치스 웰치 제로 오렌지맛,탄산음료,캔,355*6,대한민국,NOT,,8801043064132
(주)농심,웰치스 웰치 제로 오렌지맛,탄산음료,패트,1500,대한민국,NOT,,8801043067256
(주)농심,웰치스 웰치 제로 샤인머스캣맛,탄산음료,패트,500,대한민국,NOT,,8801043068147
(주)농심,웰치스 웰치 제로 샤인머스캣맛,탄산음료,캔,355,대한민국,NOT,,8801043067706
(주)농심,웰치스 웰치 제로 샤인머스캣맛,탄산음료,캔,355*6,대한민국,NOT,,8801043067720
"(주)티젠농업회사법인, (주)삼양패키징광혜원공장",티젠 콤부차 스파클링 티 레몬,탄산음료,패트,340,대한민국,NOT,,8809685981039
"(주)티젠농업회사법인, (주)삼양패키징광혜원공장",티젠 콤부차 스파클링 티 피치맛,탄산음료,패트,340,대한민국,NOT,,8809685981046
"홈플러스(주), (주)일화초정공장",Homeplus Signature 콜라,탄산음료,패트,1500,대한민국,NOT,,8801223010263
